compound,start_value,end_value,delta,normalize_delta
C10735,100,100,0,0.0
C10736,100,100,0,0.0
C10737,100,100,0,0.0
C10738,100,131,31,0.31
C10739,100,100,0,0.0
C10740,100,150,50,0.5
C10741,100,100,0,0.0
C10742,100,100,0,0.0
C10743,100,100,0,0.0
C10744,100,100,0,0.0
C10745,100,100,0,0.0
C10746,100,100,0,0.0
C10747,100,100,0,0.0
C10748,100,100,0,0.0
C10749,100,100,0,0.0
C10750,100,100,0,0.0
C10751,100,100,0,0.0
C10752,100,100,0,0.0
C10753,100,100,0,0.0
C10754,100,100,0,0.0
C10755,100,100,0,0.0
C10756,100,100,0,0.0
C10757,100,100,0,0.0
C10758,100,100,0,0.0
C10759,100,100,0,0.0
C10760,100,100,0,0.0
C10761,100,100,0,0.0
C10762,100,100,0,0.0
C10763,100,143,43,0.43
C10764,100,100,0,0.0
C10765,100,100,0,0.0
C10766,100,100,0,0.0
C10767,100,100,0,0.0
C10768,100,100,0,0.0
C10769,100,100,0,0.0
C10770,100,100,0,0.0
C10771,100,100,0,0.0
C10772,100,117,17,0.17
C10773,100,123,23,0.23
C10774,100,100,0,0.0
C10775,100,100,0,0.0
C10776,100,100,0,0.0
C10777,100,100,0,0.0
C10778,100,100,0,0.0
C10779,100,100,0,0.0
C10780,100,100,0,0.0
C10781,100,100,0,0.0
C10782,100,100,0,0.0
C10783,100,82,-18,0.18
C10784,100,48,-52,0.52
C10785,100,100,0,0.0
C10786,100,100,0,0.0
C10787,100,100,0,0.0
C10788,100,100,0,0.0
C10789,100,100,0,0.0
C10790,100,100,0,0.0
C10791,100,100,0,0.0
C10792,100,100,0,0.0
C10793,100,104,4,0.04
C10794,100,100,0,0.0
C10795,100,100,0,0.0
C10796,100,100,0,0.0
C10797,100,100,0,0.0
C10798,100,100,0,0.0
C10799,100,100,0,0.0
C10800,100,100,0,0.0
C10801,100,100,0,0.0
C10802,100,100,0,0.0
C10803,100,100,0,0.0
C10805,100,100,0,0.0
C10806,100,100,0,0.0
C10807,100,100,0,0.0
C10808,100,100,0,0.0
C10809,100,100,0,0.0
C10810,100,100,0,0.0
C10811,100,100,0,0.0
C10812,100,100,0,0.0
C10813,100,100,0,0.0
C10814,100,100,0,0.0
C10815,100,100,0,0.0
C10816,100,100,0,0.0
C10817,100,100,0,0.0
C10818,100,100,0,0.0
C10819,100,100,0,0.0
C10820,100,100,0,0.0
C10821,100,100,0,0.0
C10822,100,126,26,0.26
C10823,100,100,0,0.0
C10824,100,100,0,0.0
C10825,100,100,0,0.0
C10826,100,132,32,0.32
C10827,100,100,0,0.0
C10828,100,100,0,0.0
C10829,100,100,0,0.0
C10830,100,100,0,0.0
C10831,100,100,0,0.0
C10832,100,100,0,0.0
C10833,100,60,-40,0.4
C10834,100,100,0,0.0
C10835,100,100,0,0.0
C10836,100,100,0,0.0
C10837,100,100,0,0.0
C10838,100,100,0,0.0
C10839,100,100,0,0.0
C10840,100,100,0,0.0
C10841,100,100,0,0.0
C10842,100,100,0,0.0
C10843,100,100,0,0.0
C10844,100,100,0,0.0
C10845,100,100,0,0.0
C10846,100,100,0,0.0
C10847,100,100,0,0.0
C10848,100,100,0,0.0
C10849,100,100,0,0.0
C10850,100,152,52,0.52
C10851,100,100,0,0.0
C10852,100,100,0,0.0
C10853,100,100,0,0.0
C10854,100,100,0,0.0
C10855,100,100,0,0.0
C10856,100,100,0,0.0
C10857,100,100,0,0.0
C10858,100,79,-21,0.21
C10859,100,100,0,0.0
C10860,100,85,-15,0.15
C10861,100,100,0,0.0
C10862,100,100,0,0.0
C10863,100,100,0,0.0
C10864,100,100,0,0.0
C10865,100,153,53,0.53
C10866,100,100,0,0.0
C10867,100,100,0,0.0
C10868,100,100,0,0.0
C10869,100,100,0,0.0
C10870,100,100,0,0.0
C10871,100,100,0,0.0
C10873,100,100,0,0.0
C10874,100,146,46,0.46
C10875,100,100,0,0.0
C10876,100,100,0,0.0
C10877,100,100,0,0.0
C10878,100,100,0,0.0
C10879,100,100,0,0.0
C10880,100,100,0,0.0
C10881,100,100,0,0.0
C10882,100,54,-46,0.46
C10883,100,100,0,0.0
C10884,100,100,0,0.0
C10885,100,100,0,0.0
C10886,100,100,0,0.0
C10887,100,100,0,0.0
C10888,100,100,0,0.0
C10889,100,100,0,0.0
C10890,100,100,0,0.0
C10891,100,100,0,0.0
C10892,100,100,0,0.0
C10893,100,100,0,0.0
C10894,100,100,0,0.0
C10895,100,100,0,0.0
C10896,100,100,0,0.0
C10897,100,100,0,0.0
C10898,100,100,0,0.0
C10899,100,100,0,0.0
C10900,100,100,0,0.0
C10901,100,100,0,0.0
C10902,100,100,0,0.0
C10903,100,100,0,0.0
C10904,100,100,0,0.0
C10906,100,57,-43,0.43
C10907,100,100,0,0.0
C10908,100,100,0,0.0
C10909,100,100,0,0.0
C10910,100,100,0,0.0
C10911,100,100,0,0.0
C10912,100,100,0,0.0
C10913,100,100,0,0.0
C10914,100,100,0,0.0
C10915,100,100,0,0.0
C10916,100,100,0,0.0
C10917,100,100,0,0.0
C10918,100,100,0,0.0
C10919,100,100,0,0.0
C10920,100,100,0,0.0
C10921,100,100,0,0.0
C10922,100,100,0,0.0
C10923,100,100,0,0.0
C10924,100,100,0,0.0
C10925,100,100,0,0.0
C10926,100,100,0,0.0
C10927,100,100,0,0.0
C10928,100,100,0,0.0
C10929,100,100,0,0.0
C10930,100,100,0,0.0
C10931,100,100,0,0.0
C10932,100,100,0,0.0
C10933,100,100,0,0.0
C10934,100,100,0,0.0
C10935,100,100,0,0.0
C10936,100,100,0,0.0
C10937,100,100,0,0.0
C10939,100,100,0,0.0
C10940,100,100,0,0.0
C10941,100,100,0,0.0
C10942,100,100,0,0.0
C10943,100,100,0,0.0
C10944,100,100,0,0.0
C10945,100,80,-20,0.2
C10946,100,100,0,0.0
C10947,100,100,0,0.0
C10948,100,100,0,0.0
C10949,100,100,0,0.0
C10950,100,100,0,0.0
C10951,100,100,0,0.0
C10952,100,100,0,0.0
C10953,100,100,0,0.0
C10954,100,100,0,0.0
C10955,100,100,0,0.0
C10956,100,100,0,0.0
C10957,100,100,0,0.0
C10958,100,100,0,0.0
C10959,100,100,0,0.0
C10960,100,100,0,0.0
C10961,100,100,0,0.0
C10962,100,100,0,0.0
C10963,100,100,0,0.0
C10964,100,100,0,0.0
C10965,100,100,0,0.0
C10966,100,100,0,0.0
C10967,100,100,0,0.0
C10968,100,100,0,0.0
C10969,100,100,0,0.0
C10970,100,100,0,0.0
C10971,100,100,0,0.0
C10973,100,100,0,0.0
C10974,100,53,-47,0.47
C10975,100,100,0,0.0
C10976,100,100,0,0.0
C10977,100,100,0,0.0
C10978,100,100,0,0.0
C10979,100,100,0,0.0
C10980,100,100,0,0.0
C10981,100,100,0,0.0
C10982,100,100,0,0.0
C10983,100,100,0,0.0
C10984,100,100,0,0.0
C10985,100,100,0,0.0
C10986,100,100,0,0.0
C10987,100,100,0,0.0
C10988,100,100,0,0.0
C10989,100,100,0,0.0
C10990,100,100,0,0.0
C10992,100,100,0,0.0
C10993,100,100,0,0.0
C10994,100,100,0,0.0
C10995,100,100,0,0.0
C10996,100,100,0,0.0
C10997,100,100,0,0.0
C10998,100,100,0,0.0
C10999,100,100,0,0.0
C11000,100,100,0,0.0
C11002,100,100,0,0.0
C11003,100,100,0,0.0
C11004,100,116,16,0.16
C11005,100,100,0,0.0
C11006,100,0,-100,1.0
C11007,100,100,0,0.0
C11008,100,100,0,0.0
C11009,100,100,0,0.0
C11010,100,100,0,0.0
C11011,100,100,0,0.0
C11012,100,100,0,0.0
C11013,100,100,0,0.0
C11014,100,100,0,0.0
C11015,100,100,0,0.0
C11016,100,100,0,0.0
C11017,100,100,0,0.0
C11018,100,100,0,0.0
C11019,100,100,0,0.0
C11020,100,100,0,0.0
C11021,100,100,0,0.0
C11022,100,100,0,0.0
C11023,100,100,0,0.0
C11024,100,100,0,0.0
C11025,100,100,0,0.0
C11026,100,100,0,0.0
C11027,100,100,0,0.0
C11028,100,100,0,0.0
C11029,100,100,0,0.0
C11030,100,100,0,0.0
C11031,100,100,0,0.0
C11032,100,100,0,0.0
C11033,100,100,0,0.0
C11034,100,100,0,0.0
C11035,100,100,0,0.0
C11036,100,99,-1,0.01
C11037,100,100,0,0.0
C11038,100,48,-52,0.52
C11039,100,60,-40,0.4
C11040,100,100,0,0.0
C11041,100,100,0,0.0
C11042,100,100,0,0.0
C11043,100,100,0,0.0
C11045,100,100,0,0.0
C11047,100,100,0,0.0
C11048,100,100,0,0.0
C11049,100,100,0,0.0
C11050,100,100,0,0.0
C11051,100,100,0,0.0
C11052,100,100,0,0.0
C11053,100,100,0,0.0
C11054,100,100,0,0.0
C11055,100,100,0,0.0
C11056,100,100,0,0.0
C11057,100,100,0,0.0
C11058,100,100,0,0.0
C11059,100,100,0,0.0
C11060,100,100,0,0.0
C11061,100,104,4,0.04
C11062,100,21,-79,0.79
C11063,100,100,0,0.0
C11064,100,100,0,0.0
C11065,100,100,0,0.0
C11066,100,100,0,0.0
C11067,100,100,0,0.0
C11068,100,100,0,0.0
C11069,100,100,0,0.0
C11070,100,100,0,0.0
C11071,100,100,0,0.0
C11072,100,100,0,0.0
C11073,100,100,0,0.0
C11074,100,100,0,0.0
C11075,100,100,0,0.0
C11076,100,100,0,0.0
C11077,100,100,0,0.0
C11078,100,100,0,0.0
C11079,100,100,0,0.0
C11080,100,100,0,0.0
C11081,100,100,0,0.0
C11082,100,100,0,0.0
C11083,100,100,0,0.0
C11084,100,100,0,0.0
C11085,100,100,0,0.0
C11086,100,100,0,0.0
C11087,100,100,0,0.0
C11088,100,83,-17,0.17
C11089,100,100,0,0.0
C11090,100,100,0,0.0
C11091,100,100,0,0.0
C11092,100,100,0,0.0
C11093,100,100,0,0.0
C11094,100,100,0,0.0
C11095,100,100,0,0.0
C11096,100,100,0,0.0
C11097,100,100,0,0.0
C11098,100,100,0,0.0
C11099,100,100,0,0.0
C11100,100,100,0,0.0
C11101,100,45,-55,0.55
C11102,100,100,0,0.0
C11103,100,100,0,0.0
C11104,100,100,0,0.0
C11105,100,100,0,0.0
C11106,100,100,0,0.0
C11107,100,100,0,0.0
C11108,100,100,0,0.0
C11109,100,100,0,0.0
C11110,100,100,0,0.0
C11111,100,100,0,0.0
C11112,100,100,0,0.0
C11113,100,100,0,0.0
C11114,100,100,0,0.0
C11115,100,100,0,0.0
C11116,100,100,0,0.0
C11117,100,100,0,0.0
C11118,100,100,0,0.0
C11119,100,100,0,0.0
C11120,100,100,0,0.0
C11121,100,100,0,0.0
C11122,100,100,0,0.0
C11123,100,100,0,0.0
C11124,100,100,0,0.0
C11125,100,100,0,0.0
C11126,100,100,0,0.0
C11127,100,100,0,0.0
C11128,100,100,0,0.0
C11129,100,100,0,0.0
C11130,100,100,0,0.0
C11131,100,103,3,0.03
C11132,100,103,3,0.03
C11133,100,103,3,0.03
C11134,100,101,1,0.01
C11135,100,104,4,0.04
C11136,100,101,1,0.01
C11141,100,100,0,0.0
C11142,100,106,6,0.06
C11143,100,121,21,0.21
C11144,100,100,0,0.0
C11145,100,99,-1,0.01
C11146,100,100,0,0.0
C11147,100,100,0,0.0
C11148,100,0,-100,1.0
C11149,100,214,114,1.14
C11150,100,54,-46,0.46
C11151,100,100,0,0.0
C11152,100,100,0,0.0
C11153,100,100,0,0.0
C11154,100,100,0,0.0
C11155,100,100,0,0.0
C11156,100,100,0,0.0
C11158,100,100,0,0.0
C11159,100,100,0,0.0
C11160,100,100,0,0.0
C11161,100,100,0,0.0
C11162,100,100,0,0.0
C11163,100,100,0,0.0
C11164,100,100,0,0.0
C11166,100,100,0,0.0
C11168,100,100,0,0.0
C11169,100,100,0,0.0
C11170,100,100,0,0.0
C11171,100,100,0,0.0
C11172,100,100,0,0.0
C11173,100,127,27,0.27
C11174,100,99,-1,0.01
C11175,100,100,0,0.0
C11177,100,100,0,0.0
C11178,100,100,0,0.0
C11179,100,100,0,0.0
C11180,100,100,0,0.0
C11181,100,100,0,0.0
C11182,100,100,0,0.0
C11184,100,100,0,0.0
C11185,100,100,0,0.0
C11186,100,100,0,0.0
C11188,100,100,0,0.0
C11189,100,100,0,0.0
C11190,100,100,0,0.0
C11191,100,100,0,0.0
C11194,100,100,0,0.0
C11195,100,100,0,0.0
C11196,100,100,0,0.0
C11198,100,100,0,0.0
C11199,100,100,0,0.0
C11200,100,100,0,0.0
C11201,100,100,0,0.0
C11202,100,100,0,0.0
C11205,100,100,0,0.0
C11206,100,100,0,0.0
C11207,100,100,0,0.0
C11208,100,100,0,0.0
C11210,100,100,0,0.0
C11212,100,100,0,0.0
C11213,100,100,0,0.0
C11214,100,100,0,0.0
C11215,100,3,-97,0.97
C11216,100,100,0,0.0
C11217,100,100,0,0.0
C11218,100,100,0,0.0
C11219,100,100,0,0.0
C11221,100,100,0,0.0
C11222,100,100,0,0.0
C11223,100,100,0,0.0
C11224,100,100,0,0.0
C11225,100,100,0,0.0
C11226,100,100,0,0.0
C11227,100,100,0,0.0
C11228,100,100,0,0.0
C11229,100,100,0,0.0
C11230,100,100,0,0.0
C11231,100,100,0,0.0
C11232,100,100,0,0.0
C11233,100,100,0,0.0
C11234,100,100,0,0.0
C11235,100,100,0,0.0
C11236,100,100,0,0.0
C11237,100,100,0,0.0
C11239,100,100,0,0.0
C11240,100,100,0,0.0
C11242,100,98,-2,0.02
C11243,100,145,45,0.45
C11244,100,100,0,0.0
C11245,100,100,0,0.0
C11246,100,100,0,0.0
C11248,100,100,0,0.0
C11249,100,100,0,0.0
C11250,100,66,-34,0.34
C11251,100,100,0,0.0
C11252,100,100,0,0.0
C11253,100,100,0,0.0
C11254,100,100,0,0.0
C11255,100,100,0,0.0
C11256,100,100,0,0.0
C11257,100,100,0,0.0
C11259,100,100,0,0.0
C11260,100,100,0,0.0
C11261,100,100,0,0.0
C11262,100,100,0,0.0
C11263,100,100,0,0.0
C11264,100,100,0,0.0
C11265,100,100,0,0.0
C11266,100,100,0,0.0
C11268,100,100,0,0.0
C11269,100,100,0,0.0
C11271,100,100,0,0.0
C11272,100,100,0,0.0
C11274,100,100,0,0.0
C11275,100,100,0,0.0
C11276,100,100,0,0.0
C11277,100,100,0,0.0
C11278,100,110,10,0.1
C11279,100,100,0,0.0
C11280,100,100,0,0.0
C11281,100,100,0,0.0
C11282,100,100,0,0.0
C11283,100,100,0,0.0
C11284,100,100,0,0.0
C11285,100,100,0,0.0
C11288,100,100,0,0.0
C11289,100,100,0,0.0
C11290,100,100,0,0.0
C11292,100,100,0,0.0
C11293,100,100,0,0.0
C11295,100,100,0,0.0
C11296,100,100,0,0.0
C11297,100,100,0,0.0
C11298,100,100,0,0.0
C11299,100,100,0,0.0
C11300,100,100,0,0.0
C11301,100,101,1,0.01
C11303,100,100,0,0.0
C11304,100,100,0,0.0
C11305,100,100,0,0.0
C11306,100,100,0,0.0
C11307,100,100,0,0.0
C11309,100,100,0,0.0
C11310,100,100,0,0.0
C11311,100,100,0,0.0
C11312,100,100,0,0.0
C11313,100,100,0,0.0
C11314,100,100,0,0.0
C11315,100,100,0,0.0
C11316,100,100,0,0.0
C11317,100,100,0,0.0
C11318,100,100,0,0.0
C11319,100,100,0,0.0
C11320,100,100,0,0.0
C11321,100,100,0,0.0
C11322,100,100,0,0.0
C11323,100,100,0,0.0
C11324,100,100,0,0.0
C11325,100,100,0,0.0
C11326,100,100,0,0.0
C11327,100,100,0,0.0
C11328,100,100,0,0.0
C11329,100,100,0,0.0
C11330,100,100,0,0.0
C11331,100,100,0,0.0
C11332,100,100,0,0.0
C11333,100,100,0,0.0
C11334,100,100,0,0.0
C11335,100,100,0,0.0
C11336,100,100,0,0.0
C11337,100,100,0,0.0
C11338,100,112,12,0.12
C11339,100,100,0,0.0
C11340,100,100,0,0.0
C11341,100,100,0,0.0
C11342,100,100,0,0.0
C11343,100,100,0,0.0
C11344,100,100,0,0.0
C11345,100,100,0,0.0
C11346,100,100,0,0.0
C11347,100,100,0,0.0
C11348,100,99,-1,0.01
C11350,100,100,0,0.0
C11351,100,75,-25,0.25
C11352,100,46,-54,0.54
C11353,100,113,13,0.13
C11354,100,146,46,0.46
C11355,100,42,-58,0.58
C11356,100,91,-9,0.09
C11357,100,100,0,0.0
C11358,100,100,0,0.0
C11359,100,131,31,0.31
C11360,100,100,0,0.0
C11361,100,100,0,0.0
C11362,100,100,0,0.0
C11363,100,100,0,0.0
C11365,100,100,0,0.0
C11366,100,100,0,0.0
C11367,100,100,0,0.0
C11368,100,100,0,0.0
C11369,100,100,0,0.0
C11370,100,100,0,0.0
C11371,100,100,0,0.0
C11372,100,100,0,0.0
C11373,100,100,0,0.0
C11375,100,100,0,0.0
C11376,100,96,-4,0.04
C11377,100,104,4,0.04
C11378,100,100,0,0.0
C11379,100,189,89,0.89
C11380,100,100,0,0.0
C11381,100,100,0,0.0
C11382,100,102,2,0.02
C11383,100,101,1,0.01
C11384,100,124,24,0.24
C11386,100,74,-26,0.26
C11387,100,133,33,0.33
C11388,100,103,3,0.03
C11389,100,79,-21,0.21
C11390,100,100,0,0.0
C11391,100,100,0,0.0
C11392,100,100,0,0.0
C11393,100,61,-39,0.39
C11394,100,100,0,0.0
C11395,100,50,-50,0.5
C11396,100,91,-9,0.09
C11397,100,86,-14,0.14
C11398,100,121,21,0.21
C11399,100,95,-5,0.05
C11400,100,95,-5,0.05
C11401,100,154,54,0.54
C11402,100,87,-13,0.13
C11403,100,85,-15,0.15
C11404,100,67,-33,0.33
C11405,100,188,88,0.88
C11406,100,116,16,0.16
C11407,100,100,0,0.0
C11408,100,56,-44,0.44
C11409,100,96,-4,0.04
C11410,100,91,-9,0.09
C11411,100,92,-8,0.08
C11412,100,123,23,0.23
C11413,100,96,-4,0.04
C11414,100,79,-21,0.21
C11415,100,153,53,0.53
C11416,100,94,-6,0.06
C11417,100,73,-27,0.27
C11418,100,88,-12,0.12
C11419,100,156,56,0.56
C11420,100,112,12,0.12
C11421,100,135,35,0.35
C11422,100,98,-2,0.02
C11427,100,112,12,0.12
C11428,100,53,-47,0.47
C11429,100,56,-44,0.44
C11430,100,191,91,0.91
C11431,100,62,-38,0.38
C11432,100,91,-9,0.09
C11433,100,148,48,0.48
C11434,100,75,-25,0.25
C11435,100,99,-1,0.01
C11436,100,63,-37,0.37
C11437,100,87,-13,0.13
C11438,100,100,0,0.0
C11441,100,100,0,0.0
C11442,100,100,0,0.0
C11443,100,100,0,0.0
C11445,100,100,0,0.0
C11446,100,100,0,0.0
C11447,100,146,46,0.46
C11448,100,142,42,0.42
C11449,100,101,1,0.01
C11453,100,114,14,0.14
C11455,100,114,14,0.14
C11456,100,100,0,0.0
C11457,100,139,39,0.39
C11460,100,9,-91,0.91
C11461,100,91,-9,0.09
C11462,100,100,0,0.0
C11465,100,100,0,0.0
C11466,100,100,0,0.0
C11467,100,100,0,0.0
C11468,100,105,5,0.05
C11469,100,185,85,0.85
C11471,100,100,0,0.0
C11472,100,79,-21,0.21
C11473,100,100,0,0.0
C11474,100,100,0,0.0
C11475,100,173,73,0.73
C11478,100,100,0,0.0
C11480,100,100,0,0.0
C11481,100,225,125,1.25
C11482,100,93,-7,0.07
C11483,100,100,0,0.0
C11484,100,100,0,0.0
C11485,100,100,0,0.0
C11486,100,100,0,0.0
C11488,100,100,0,0.0
C11489,100,100,0,0.0
C11490,100,100,0,0.0
C11491,100,100,0,0.0
C11492,100,100,0,0.0
C11493,100,100,0,0.0
C11494,100,100,0,0.0
C11495,100,100,0,0.0
C11496,100,46,-54,0.54
C11497,100,126,26,0.26
C11498,100,39,-61,0.61
C11499,100,96,-4,0.04
C11500,100,100,0,0.0
C11502,100,126,26,0.26
C11503,100,99,-1,0.01
C11504,100,99,-1,0.01
C11505,100,100,0,0.0
C11506,100,145,45,0.45
C11507,100,151,51,0.51
C11508,100,59,-41,0.41
C11509,100,101,1,0.01
C11510,100,100,0,0.0
C11511,100,62,-38,0.38
C11512,100,100,0,0.0
C11513,100,100,0,0.0
C11514,100,100,0,0.0
C11515,100,102,2,0.02
C11516,100,88,-12,0.12
C11519,100,40,-60,0.6
C11520,100,142,42,0.42
C11521,100,48,-52,0.52
C11522,100,147,47,0.47
C11525,100,113,13,0.13
C11526,100,81,-19,0.19
C11527,100,100,0,0.0
C11529,100,89,-11,0.11
C11535,100,112,12,0.12
C11536,100,41,-59,0.59
C11537,100,44,-56,0.56
C11538,100,147,47,0.47
C11539,100,155,55,0.55
C11540,100,101,1,0.01
C11541,100,100,0,0.0
C11542,100,60,-40,0.4
C11543,100,141,41,0.41
C11544,100,100,0,0.0
C11545,100,59,-41,0.41
C11546,100,18,-82,0.82
C11550,100,124,24,0.24
C11552,100,130,30,0.3
C11553,100,102,2,0.02
C11554,100,97,-3,0.03
C11555,100,99,-1,0.01
C11556,100,78,-22,0.22
C11560,100,100,0,0.0
C11561,100,100,0,0.0
C11562,100,100,0,0.0
C11563,100,100,0,0.0
C11564,100,100,0,0.0
C11565,100,100,0,0.0
C11566,100,100,0,0.0
C11567,100,100,0,0.0
C11568,100,100,0,0.0
C11569,100,100,0,0.0
C11570,100,100,0,0.0
C11571,100,100,0,0.0
C11572,100,146,46,0.46
C11573,100,100,0,0.0
C11574,100,100,0,0.0
C11575,100,100,0,0.0
C11576,100,100,0,0.0
C11577,100,100,0,0.0
C11578,100,100,0,0.0
C11579,100,100,0,0.0
C11580,100,100,0,0.0
C11581,100,100,0,0.0
C11582,100,100,0,0.0
C11583,100,115,15,0.15
C11584,100,100,0,0.0
C11585,100,100,0,0.0
C11586,100,100,0,0.0
C11587,100,100,0,0.0
C11588,100,94,-6,0.06
C11589,100,100,0,0.0
C11590,100,100,0,0.0
C11591,100,100,0,0.0
C11592,100,100,0,0.0
C11593,100,100,0,0.0
C11594,100,100,0,0.0
C11595,100,100,0,0.0
C11596,100,100,0,0.0
C11597,100,100,0,0.0
C11598,100,100,0,0.0
C11599,100,100,0,0.0
C11600,100,100,0,0.0
C11601,100,100,0,0.0
C11602,100,100,0,0.0
C11603,100,100,0,0.0
C11604,100,100,0,0.0
C11605,100,100,0,0.0
C11606,100,100,0,0.0
C11607,100,100,0,0.0
C11608,100,100,0,0.0
C11609,100,100,0,0.0
C11610,100,100,0,0.0
C11611,100,100,0,0.0
C11612,100,100,0,0.0
C11613,100,100,0,0.0
C11615,100,100,0,0.0
C11616,100,100,0,0.0
C11617,100,100,0,0.0
C11618,100,100,0,0.0
C11619,100,100,0,0.0
C11620,100,101,1,0.01
C11621,100,100,0,0.0
C11622,100,100,0,0.0
C11624,100,100,0,0.0
C11625,100,100,0,0.0
C11626,100,100,0,0.0
C11627,100,100,0,0.0
C11628,100,100,0,0.0
C11629,100,100,0,0.0
C11630,100,107,7,0.07
C11631,100,100,0,0.0
C11632,100,85,-15,0.15
C11633,100,66,-34,0.34
C11634,100,149,49,0.49
C11635,100,88,-12,0.12
C11636,100,100,0,0.0
C11637,100,99,-1,0.01
C11638,100,128,28,0.28
C11639,100,100,0,0.0
C11640,100,100,0,0.0
C11641,100,121,21,0.21
C11642,100,94,-6,0.06
C11643,100,99,-1,0.01
C11644,100,100,0,0.0
C11645,100,100,0,0.0
C11646,100,100,0,0.0
C11647,100,100,0,0.0
C11648,100,100,0,0.0
C11649,100,100,0,0.0
C11650,100,100,0,0.0
C11651,100,100,0,0.0
C11652,100,100,0,0.0
C11653,100,100,0,0.0
C11654,100,100,0,0.0
C11655,100,100,0,0.0
C11656,100,100,0,0.0
C11657,100,100,0,0.0
C11658,100,100,0,0.0
C11659,100,100,0,0.0
C11660,100,100,0,0.0
C11661,100,100,0,0.0
C11662,100,100,0,0.0
C11663,100,100,0,0.0
C11664,100,100,0,0.0
C11665,100,100,0,0.0
C11666,100,100,0,0.0
C11667,100,100,0,0.0
C11668,100,100,0,0.0
C11669,100,100,0,0.0
C11671,100,100,0,0.0
C11672,100,99,-1,0.01
C11673,100,92,-8,0.08
C11674,100,100,0,0.0
C11675,100,84,-16,0.16
C11676,100,50,-50,0.5
C11678,100,113,13,0.13
C11679,100,107,7,0.07
C11680,100,52,-48,0.48
C11681,100,108,8,0.08
C11682,100,142,42,0.42
C11683,100,142,42,0.42
C11684,100,100,0,0.0
C11685,100,100,0,0.0
C11686,100,100,0,0.0
C11687,100,100,0,0.0
C11688,100,100,0,0.0
C11689,100,100,0,0.0
C11690,100,100,0,0.0
C11691,100,43,-57,0.57
C11692,100,100,0,0.0
C11694,100,100,0,0.0
C11695,100,85,-15,0.15
C11696,100,100,0,0.0
C11697,100,100,0,0.0
C11698,100,100,0,0.0
C11699,100,100,0,0.0
C11700,100,117,17,0.17
C11701,100,100,0,0.0
C11702,100,100,0,0.0
C11703,100,100,0,0.0
C11704,100,100,0,0.0
C11705,100,100,0,0.0
C11706,100,100,0,0.0
C11707,100,100,0,0.0
C11708,100,100,0,0.0
C11709,100,100,0,0.0
C11710,100,100,0,0.0
C11711,100,100,0,0.0
C11712,100,100,0,0.0
C11713,100,170,70,0.7
C11714,100,119,19,0.19
C11715,100,100,0,0.0
C11716,100,100,0,0.0
C11717,100,100,0,0.0
C11718,100,100,0,0.0
C11719,100,100,0,0.0
C11720,100,100,0,0.0
C11721,100,100,0,0.0
C11723,100,100,0,0.0
C11724,100,100,0,0.0
C11725,100,100,0,0.0
C11726,100,100,0,0.0
C11727,100,100,0,0.0
C13962,100,100,0,0.0
C11728,100,100,0,0.0
C11729,100,100,0,0.0
C11730,100,100,0,0.0
C11731,100,100,0,0.0
C11732,100,100,0,0.0
C11733,100,100,0,0.0
C11734,100,100,0,0.0
C11735,100,120,20,0.2
C11736,100,153,53,0.53
C11737,100,100,0,0.0
C11738,100,100,0,0.0
C11739,100,100,0,0.0
C11740,100,100,0,0.0
C11741,100,100,0,0.0
C11742,100,100,0,0.0
C11743,100,100,0,0.0
C11744,100,100,0,0.0
C11745,100,100,0,0.0
C11746,100,100,0,0.0
C11747,100,100,0,0.0
C11748,100,100,0,0.0
C11749,100,100,0,0.0
C11750,100,100,0,0.0
C11751,100,100,0,0.0
C11752,100,100,0,0.0
C11754,100,100,0,0.0
C11755,100,100,0,0.0
C11756,100,100,0,0.0
C11757,100,100,0,0.0
C11760,100,100,0,0.0
C11761,100,100,0,0.0
C11762,100,100,0,0.0
C11763,100,100,0,0.0
C11764,100,100,0,0.0
C11765,100,100,0,0.0
C11766,100,100,0,0.0
C11767,100,100,0,0.0
C11768,100,100,0,0.0
C11769,100,100,0,0.0
C11770,100,100,0,0.0
C11771,100,100,0,0.0
C11772,100,100,0,0.0
C11773,100,100,0,0.0
C11774,100,100,0,0.0
C11775,100,100,0,0.0
C11776,100,100,0,0.0
C11777,100,100,0,0.0
C11778,100,100,0,0.0
C11779,100,100,0,0.0
C11780,100,100,0,0.0
C11781,100,100,0,0.0
C11782,100,100,0,0.0
C11783,100,122,22,0.22
C11784,100,118,18,0.18
C11785,100,101,1,0.01
C11786,100,100,0,0.0
C11787,100,100,0,0.0
C11788,100,100,0,0.0
C11789,100,100,0,0.0
C11790,100,100,0,0.0
C11791,100,100,0,0.0
C11792,100,100,0,0.0
C11793,100,100,0,0.0
C11794,100,100,0,0.0
C11795,100,100,0,0.0
C11796,100,100,0,0.0
C11797,100,100,0,0.0
C11798,100,100,0,0.0
C11799,100,100,0,0.0
C11800,100,100,0,0.0
C11801,100,100,0,0.0
C11802,100,100,0,0.0
C11803,100,100,0,0.0
C11804,100,100,0,0.0
C11805,100,100,0,0.0
C11806,100,100,0,0.0
C11807,100,112,12,0.12
C11808,100,108,8,0.08
C11809,100,60,-40,0.4
C11810,100,115,15,0.15
C11811,100,92,-8,0.08
C11812,100,138,38,0.38
C11813,100,98,-2,0.02
C11814,100,99,-1,0.01
C11815,100,145,45,0.45
