compound,start_value,end_value,delta,normalize_delta
C00301,100,228,128,1.28
C00302,100,120,20,0.2
C00303,100,100,0,0.0
C00304,100,100,0,0.0
C00305,100,233,133,1.33
C00307,100,0,-100,1.0
C00308,100,100,0,0.0
C00309,100,215,115,1.15
C05052,100,100,0,0.0
C00310,100,143,43,0.43
C00311,170,41,-129,0.75882
C00312,100,126,26,0.26
C00313,100,95,-5,0.05
C00314,100,39,-61,0.61
C00315,100,82,-18,0.18
C00317,100,100,0,0.0
C00318,100,8,-92,0.92
C00319,100,127,27,0.27
C00320,100,0,-100,1.0
C00322,100,78,-22,0.22
C00323,100,0,-100,1.0
C00324,100,100,0,0.0
C00325,100,0,-100,1.0
C00326,100,86,-14,0.14
C00327,100,130,30,0.3
C00328,100,44,-56,0.56
C00329,100,47,-53,0.53
C00330,100,84,-16,0.16
C00331,100,46,-54,0.54
C00332,100,216,116,1.16
C00333,100,54,-46,0.46
C00334,100,0,-100,1.0
C00337,100,0,-100,1.0
C00338,100,114,14,0.14
C00339,100,89,-11,0.11
C00341,100,0,-100,1.0
C00342,100,200,100,1.0
C00343,100,0,-100,1.0
C00344,100,0,-100,1.0
C00345,100,12,-88,0.88
C00346,100,221,121,1.21
C00347,100,160,60,0.6
C00348,100,100,0,0.0
C00349,100,131,31,0.31
C00350,100,0,-100,1.0
C00352,100,129,29,0.29
C00353,100,0,-100,1.0
C00354,272,261,-11,0.04044
C00355,100,0,-100,1.0
C00356,100,0,-100,1.0
C00357,100,0,-100,1.0
C00360,100,77,-23,0.23
C00361,100,152,52,0.52
C00362,100,84,-16,0.16
C00363,100,1905,1805,18.05
C00364,100,235,135,1.35
C00365,100,31,-69,0.69
C00366,100,162,62,0.62
C00369,100,32,-68,0.68
C00370,100,0,-100,1.0
C00371,100,118,18,0.18
C00372,100,88,-12,0.12
C00374,100,100,0,0.0
C00375,100,97,-3,0.03
C00376,100,0,-100,1.0
C00377,100,99,-1,0.01
C00378,100,0,-100,1.0
C00379,100,50,-50,0.5
C00380,100,172,72,0.72
C00381,100,72,-28,0.28
C00383,100,26,-74,0.74
C00384,100,100,0,0.0
C00385,100,210,110,1.1
C00386,100,84,-16,0.16
C00387,100,47,-53,0.53
C00388,100,94,-6,0.06
C00389,100,105,5,0.05
C00390,100,201,101,1.01
C00392,100,69,-31,0.31
C00394,100,26,-74,0.74
C00395,100,53,-47,0.47
C00396,100,176,76,0.76
C00397,100,68,-32,0.32
C00398,100,0,-100,1.0
C00399,100,0,-100,1.0
C00400,100,76,-24,0.24
C00401,100,52,-48,0.48
C00402,1340,1342,2,0.00149
C00403,100,92,-8,0.08
C00404,100,375,275,2.75
C00405,100,265,165,1.65
C00406,100,0,-100,1.0
C00407,100,0,-100,1.0
C00408,100,140,40,0.4
C00409,100,94,-6,0.06
C00410,100,120,20,0.2
C00411,100,0,-100,1.0
C00412,100,62,-38,0.38
C00413,100,117,17,0.17
C00414,100,102,2,0.02
C00415,100,162,62,0.62
C00416,100,161,61,0.61
